   -1.000000       0.000000000000E+00
   -0.999333       0.232421926578E-01
   -0.998667       0.328639435551E-01
   -0.998000       0.402432329633E-01
   -0.997333       0.464611295557E-01
   -0.996667       0.519364521964E-01
   -0.996000       0.568840339709E-01
   -0.995333       0.614315173324E-01
   -0.994667       0.656620824344E-01
   -0.994000       0.696335160996E-01
   -0.993333       0.733878995888E-01
   -0.992667       0.769570061439E-01
   -0.992000       0.803655245121E-01
   -0.991333       0.836330916113E-01
   -0.990667       0.867756316125E-01
   -0.990000       0.898062704822E-01
   -0.989333       0.927359797544E-01
   -0.988667       0.955740415123E-01
   -0.988000       0.983283917690E-01
   -0.987333       0.101005878996E+00
   -0.986667       0.103612462100E+00
   -0.986000       0.106153364337E+00
   -0.985333       0.108633194579E+00
   -0.984667       0.111056044031E+00
   -0.984000       0.113425564200E+00
   -0.983333       0.115745030387E+00
   -0.982667       0.118017393851E+00
   -0.982000       0.120245325026E+00
   -0.981333       0.122431249591E+00
   -0.980667       0.124577378802E+00
   -0.980000       0.126685735144E+00
   -0.979333       0.128758174170E+00
   -0.978667       0.130796403196E+00
   -0.978000       0.132801997385E+00
   -0.977333       0.134776413652E+00
   -0.976667       0.136721002743E+00
   -0.976000       0.138637019775E+00
   -0.975333       0.140525633463E+00
   -0.974667       0.142387934233E+00
   -0.974000       0.144224941383E+00
   -0.973333       0.146037609422E+00
   -0.972667       0.147826833699E+00
   -0.972000       0.149593455418E+00
   -0.971333       0.151338266124E+00
   -0.970667       0.153062011714E+00
   -0.970000       0.154765396045E+00
   -0.969333       0.156449084188E+00
   -0.968667       0.158113705352E+00
   -0.968000       0.159759855547E+00
   -0.967333       0.161388099980E+00
   -0.966667       0.162998975251E+00
   -0.966000       0.164592991338E+00
   -0.965333       0.166170633414E+00
   -0.964667       0.167732363507E+00
   -0.964000       0.169278622020E+00
   -0.963333       0.170809829124E+00
   -0.962667       0.172326386037E+00
   -0.962000       0.173828676203E+00
   -0.961333       0.175317066378E+00
   -0.960667       0.176791907630E+00
   -0.960000       0.178253536263E+00
   -0.959333       0.179702274677E+00
   -0.958667       0.181138432158E+00
   -0.958000       0.182562305617E+00
   -0.957333       0.183974180271E+00
   -0.956667       0.185374330283E+00
   -0.956000       0.186763019348E+00
   -0.955333       0.188140501251E+00
   -0.954667       0.189507020379E+00
   -0.954000       0.190862812203E+00
   -0.953333       0.192208103726E+00
   -0.952667       0.193543113906E+00
   -0.952000       0.194868054053E+00
   -0.951333       0.196183128191E+00
   -0.950667       0.197488533414E+00
   -0.950000       0.198784460209E+00
   -0.949333       0.200071092759E+00
   -0.948667       0.201348609238E+00
   -0.948000       0.202617182077E+00
   -0.947333       0.203876978227E+00
   -0.946667       0.205128159392E+00
   -0.946000       0.206370882267E+00
   -0.945333       0.207605298743E+00
   -0.944667       0.208831556120E+00
   -0.944000       0.210049797296E+00
   -0.943333       0.211260160947E+00
   -0.942667       0.212462781705E+00
   -0.942000       0.213657790317E+00
   -0.941333       0.214845313803E+00
   -0.940667       0.216025475604E+00
   -0.940000       0.217198395721E+00
   -0.939333       0.218364190848E+00
   -0.938667       0.219522974498E+00
   -0.938000       0.220674857124E+00
   -0.937333       0.221819946237E+00
   -0.936667       0.222958346506E+00
   -0.936000       0.224090159873E+00
   -0.935333       0.225215485645E+00
   -0.934667       0.226334420589E+00
   -0.934000       0.227447059026E+00
   -0.933333       0.228553492912E+00
   -0.932667       0.229653811926E+00
   -0.932000       0.230748103543E+00
   -0.931333       0.231836453114E+00
   -0.930667       0.232918943933E+00
   -0.930000       0.233995657311E+00
   -0.929333       0.235066672637E+00
   -0.928667       0.236132067445E+00
   -0.928000       0.237191917472E+00
   -0.927333       0.238246296716E+00
   -0.926667       0.239295277494E+00
   -0.926000       0.240338930491E+00
   -0.925333       0.241377324816E+00
   -0.924667       0.242410528047E+00
   -0.924000       0.243438606280E+00
   -0.923333       0.244461624175E+00
   -0.922667       0.245479644996E+00
   -0.922000       0.246492730659E+00
   -0.921333       0.247500941766E+00
   -0.920667       0.248504337646E+00
   -0.920000       0.249502976395E+00
   -0.919333       0.250496914907E+00
   -0.918667       0.251486208911E+00
   -0.918000       0.252470913006E+00
   -0.917333       0.253451080690E+00
   -0.916667       0.254426764390E+00
   -0.916000       0.255398015498E+00
   -0.915333       0.256364884393E+00
   -0.914667       0.257327420470E+00
   -0.914000       0.258285672171E+00
   -0.913333       0.259239687006E+00
   -0.912667       0.260189511579E+00
   -0.912000       0.261135191615E+00
   -0.911333       0.262076771978E+00
   -0.910667       0.263014296699E+00
   -0.910000       0.263947808994E+00
   -0.909333       0.264877351285E+00
   -0.908667       0.265802965225E+00
   -0.908000       0.266724691709E+00
   -0.907333       0.267642570903E+00
   -0.906667       0.268556642254E+00
   -0.906000       0.269466944512E+00
   -0.905333       0.270373515747E+00
   -0.904667       0.271276393365E+00
   -0.904000       0.272175614124E+00
   -0.903333       0.273071214149E+00
   -0.902667       0.273963228951E+00
   -0.902000       0.274851693436E+00
   -0.901333       0.275736641923E+00
   -0.900667       0.276618108157E+00
   -0.900000       0.277496125321E+00
   -0.899333       0.278370726053E+00
   -0.898667       0.279241942453E+00
   -0.898000       0.280109806101E+00
   -0.897333       0.280974348063E+00
   -0.896667       0.281835598908E+00
   -0.896000       0.282693588716E+00
   -0.895333       0.283548347090E+00
   -0.894667       0.284399903166E+00
   -0.894000       0.285248285623E+00
   -0.893333       0.286093522695E+00
   -0.892667       0.286935642178E+00
   -0.892000       0.287774671441E+00
   -0.891333       0.288610637435E+00
